"Exp","ID","Section","LM","NearFar","Site","X","Y","Z","step","yaw","pitch","CurrFlowerDist","FlowerX","FlowerY","FlowerZ","LeftLMx","LeftLMy","LeftLMz","RightLMx","RightLMy","RightLMz","stops"
"1","1","Test","Y","NA","NA",-404.2903743,-124.5664408,2038.350258,232.5139671379,NA,NA,1692.0988541841,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",-261.1990177,-93.55460048,2218.976597,223.517352206748,-0.0669452084417518,-0.00973312464647619,1486.33326379657,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",-112.538914,-61.58805603,2382.80065,199.408004068495,-0.0403398509275225,0.0886203859000824,1305.84143959274,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",27.09950246,-50.64851833,2524.733702,181.328973484691,0.0985840827377846,0.108908071451454,1164.85570423452,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",140.7634966,-60.43922627,2665.676368,187.563128245954,0.155771250956728,0.0780937719305721,1042.72358939039,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",233.6142446,-85.14695957,2826.760798,199.32476781732,0.111588028908124,0.103196392010295,918.232315051169,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",311.1094217,-131.6185413,3004.426925,118.662186038428,-0.390334438389165,0.147287574274528,804.279002526922,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",390.2035554,-175.9189389,3080.99263,89.6484885104785,0.111437024362838,0.000691198252260494,799.60345608116,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",443.1405334,-209.4450699,3145.106017,71.3275178663672,-0.328102284079818,0.02907778549514,799.384183533857,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",498.7664444,-238.0316544,3179.401498,35.5954390583509,-0.768492494947341,-0.141919991780132,826.101457967381,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
