ID,Expt,LeftLMx,LeftLMy,LeftLMz,RightLMx,RightLMy,RightLMz,Flowerx,Flowery,Flowerz,Inx,Iny,Inz,Outx,Outy,Outz,Testx,Testy,Testz
1,1,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,-48.77907218,136.090078,3672.017429,-767.0336458,-127.4053878,2307.497251,-67.04386562,127.690545,3678.829607,-404.2903743,-124.5664408,2038.350258
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-621.6080333,-107.0087922,2453.468796,-65.26396813,128.2438021,3667.388709,-261.1990177,-93.55460048,2218.976597
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-469.7000511,-93.71217312,2434.120893,-71.67389765,128.0580725,3681.570447,-112.538914,-61.58805603,2382.80065
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-364.7145332,-102.1371705,2761.91203,-71.67389765,128.0580725,3681.570447,27.09950246,-50.64851833,2524.733702
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-267.3925076,-138.786231,2900.5473,-71.5360725,122.9228131,3666.798619,140.7634966,-60.43922627,2665.676368
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-187.6598188,-182.7394479,3010.353406,-76.36049152,112.1754543,3678.559483,233.6142446,-85.14695957,2826.760798
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-155.0456614,-219.4934203,3067.388397,-86.03305475,100.8671668,3696.625339,311.1094217,-131.6185413,3004.426925
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-135.8915543,-261.4222378,3193.459219,-94.46870149,87.7710877,3723.453039,390.2035554,-175.9189389,3080.99263
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-129.2446353,-288.2971563,3369.211103,-96.46179485,72.34836593,3734.475811,443.1405334,-209.4450699,3145.106017
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.4577414,-335.515777,3456.186148,-101.7859217,58.04490104,3763.823291,498.7664444,-238.0316544,3179.401498
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.92561981,-364.667506,3600.727938,-103.3371291,54.02383174,3761.819912,532.2709514,-247.5414167,3172.049783
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.79081424,-378.3445447,3654.123919,-103.2834618,52.42420037,3761.61004,544.0041221,-251.8754873,3169.764157
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.7132087,-383.8185098,3623.233285,-103.2834618,52.42420037,3761.61004,551.7678756,-251.4154609,3145.557144
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.90708794,-384.6182307,3643.899936,-103.2834618,52.42420037,3761.61004,545.9547398,-250.2159401,3134.546022
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.10567573,-382.8489301,3626.434538,-103.9366489,49.80853246,3782.178526,523.8069977,-250.7940088,3151.695987
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.7086058,-380.9485103,3630.382251,-99.16191563,38.89416223,3785.750108,494.1739821,-265.1423084,3183.655574
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.7086058,-380.9485103,3630.382251,-93.10908211,17.80876352,3799.675656,468.7020749,-281.8404058,3164.910257
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.7086058,-380.9485103,3630.382251,-98.01117721,-24.80976218,3860.755925,408.1904646,-314.6566455,3256.106427
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.64149749,-365.0292137,3644.479803,-95.59275602,-82.83754328,3944.36144,364.3269682,-363.4443938,3355.848258
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.87134811,-329.7075441,3680.324397,-95.53002276,-109.4502122,3951.422918,331.6998053,-410.2942616,3441.351449
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.66984081,-267.1828825,3684.418461,-113.2832012,-180.3525299,4049.614987,291.944592,-482.228757,3538.170991
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36.25471521,-227.9731804,3702.063159,-133.3981159,-258.9782221,4092.711517,252.245546,-571.3243519,3629.559776
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-63.49683355,-190.9029268,3755.941244,-176.7708617,-357.5269303,4188.066636,197.9585627,-678.6475806,3756.808434
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.31610767,-162.4306049,3900.645406,-221.76747,-442.9262966,4276.1888,151.5026499,-763.2971904,3815.837401
