"Exp","ID","Section","LM","NearFar","Site","X","Y","Z","step","yaw","pitch","CurrFlowerDist","flowerx","flowery","flowerz","LeftLMx","LeftLMy","LeftLMz","RightLMx","RightLMy","RightLMz","stops","stops"
1,1,"Test","Y",NA,NA,159.6753264,568.3141085,5233.523536,61.1258675960236,0.341418427266043,0.342545582608455,1725.67083084937,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,115.1747289,536.2007884,5206.601367,203.636374466482,-0.0826508655065674,-0.722747562319774,1683.39054313045,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,56.0682311,485.6276682,5018.408502,77.6060012256119,0.356656439210417,2.20403628608848,1486.70603496427,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,18.25315907,471.7771295,5084.747588,36.1949603425074,0.308335841389022,-1.36579454694727,1539.41624134877,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-15.83146655,470.3187978,5072.656818,33.3330829232459,-0.163936214237871,1.00327037597378,1526.63288559629,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-41.55017736,464.9258284,5093.164334,63.7912574937082,-2.27204839554756,-2.05370147343461,1543.02653971253,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-32.55928277,457.906823,5030.401113,0,-0.662848507172198,1.39102366155864,1482.66706745767,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y"
1,1,"Test","Y",NA,NA,-32.55928277,457.906823,5030.401113,3.23656724548569,0.72702863582966,0.478324081726061,1482.66706745767,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-30.41247459,455.997064,5031.890879,0,-0.72702863582966,-0.478324081726061,1483.2937388271,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y"
1,1,"Test","Y",NA,NA,-30.41247459,455.997064,5031.890879,40.9526279301095,1.24360139560083,-1.38640216506216,1483.2937388271,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-27.9992665,448.8867137,4991.6325,25.6119220942895,0.29978240849806,0.383599456339624,1443.61129905597,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-27.62163165,435.1141668,4970.042111,91.3023456206414,0.229665134599461,0.0171133214112927,1418.30532737084,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-37.75087887,385.7167675,4893.927634,56.4684401634109,0.397377733224143,0.525764884179651,1328.70935653418,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-66.30667549,343.9437486,4868.862397,23.8858000686337,0.165441460027385,0.593797044488867,1289.64241903907,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-82.70169328,326.8683045,4872.050507,80.2754180830492,-0.983978546949073,-1.62557785819142,1286.6858965744,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
